Country name,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank
Finland,Western Europe,7.80420017242432,48630.7,0.968769609928131,71.1499938964844,0.961407899856567,-0.018824165686965,0.181744560599327,10.65,16.56,4.99,27.59,81.19,27.3
Denmark,Western Europe,7.58640003204346,57651.06,0.954112231731415,71.2501449584961,0.93353283405304,0.134242162108421,0.195813894271851,10.13,15.58,4.8,26.22,81.07,28.2
Iceland,Western Europe,7.52960014343262,53934.77,0.982533097267151,72.0500183105469,0.936349213123322,0.210986539721489,0.667847812175751,9.21,14.03,4.39,23.75,82.72,26.1
Israel,Middle East and North Africa,7.47289991378784,41718.72,0.943343997001648,72.6972045898438,0.8088658452034,-0.023080050945282,0.708093583583832,4.38,6.84,2.02,31.47,83.1,39.0
Netherlands,Western Europe,7.40299987792969,56515.99,0.930499315261841,71.5500183105469,0.886875092983246,0.212686151266098,0.378929287195206,9.67,14.9,4.54,27.16,82.05,28.1
Sweden,Western Europe,7.3951997756958,53253.72,0.93924868106842,72.1501541137695,0.947971045970917,0.164788573980331,0.202448382973671,9.04,13.85,4.27,48.0,82.28,30.0
Norway,Western Europe,7.31549978256226,65364.23,0.943476557731628,71.5000228881836,0.946616411209106,0.140636056661606,0.282744705677032,7.14,10.8,3.45,33.72,82.98,27.6
Switzerland,Western Europe,7.24009990692139,70546.49,0.92043924331665,72.8999557495117,0.891074419021606,0.0266864188015461,0.266347587108612,11.23,17.18,5.45,21.62,82.11,33.1
Luxembourg,Western Europe,7.22790002822876,115838.16,0.878500759601593,71.6750030517578,0.914938449859619,0.0239496231079102,0.344978302717209,12.45,18.74,6.08,34.13,81.59,35.4
New Zealand,North America and ANZ,7.12290000915527,42696.2,0.952398359775543,70.3500518798828,0.886574268341065,0.174828231334686,0.271205455064774,10.69,16.46,5.23,42.88,79.84,
Austria,Western Europe,7.09730005264282,54117.11,0.88843584060669,71.1500473022461,0.854737281799316,0.101604469120502,0.49677437543869,11.93,18.42,5.76,25.54,80.23,30.8
