Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank,Happiness score
Albania,Central and Eastern Europe,5.277299881,14292.25,0.717909157,69.15007019,0.794327796,-0.006932399,0.8780936,6.82,11.02,2.53,42.53,73.95,33.2,5.411
Bosnia and Herzegovina,Central and Eastern Europe,5.632500172,14999.37,0.880300462,67.27503204,0.746143401,0.2064071,0.917537808,7.81,12.95,2.96,,70.5,33,6.136
Bulgaria,Central and Eastern Europe,5.466100216,24021.03,0.91824466,66.49977112,0.800536454,-0.056826983,0.910979748,12.46,19.86,5.59,38.21,74.11,41.3,5.554
Croatia,Central and Eastern Europe,6.125,30968.92,0.917180657,68.94998169,0.757123351,-0.092646405,0.925282836,8.73,13.96,3.99,24.59,75.74,29.7,5.87
Czechia,Central and Eastern Europe,6.845200062,40579.57,0.952577949,69.04974365,0.902514875,0.039763082,0.858949184,,,,25.52,79.49,25,6.775
Estonia,Central and Eastern Europe,6.455200195,37848.17,0.945625901,69.65016937,0.928790748,0.031764295,0.409467012,10.75,17.35,5.06,23.71,77.71,30.3,6.417
Hungary,Central and Eastern Europe,6.041200161,33479.28,0.942637324,67.50045013,0.757816672,-0.059171654,0.838859975,11.07,17.66,5.24,34.36,76.7,29.6,5.915
Kosovo,Central and Eastern Europe,6.367599964,11603.91,0.843792796,65.19499207,0.86147356,0.258716673,0.866122901,,,,,,,6.659
Latvia,Central and Eastern Europe,6.21269989,31898.72,0.937128425,66.40036774,0.817607343,-0.055582482,0.830251992,13.19,21.61,6.31,38.77,74.52,35.1,6.207
Lithuania,Central and Eastern Europe,6.763000011,38864.58,0.939346611,67.39699554,0.747852027,-0.145212829,0.805086732,12.78,20.6,6.3,33.42,74.43,35.7,6.829
Montenegro,Central and Eastern Europe,5.722199917,18262.24,0.889605999,67.09999847,0.80499804,0.06348329,0.844438255,12.24,19.51,5.3,41.18,68.44,38.5,5.877
North Macedonia,Central and Eastern Europe,5.253600121,16369.41,0.804748416,66.50035095,0.768963575,0.131239697,0.901715279,6.43,10.36,2.54,39.12,72.63,33,5.503
Poland,Central and Eastern Europe,6.259699821,34646.15,0.925056577,69.04891968,0.765491843,-0.030951187,0.735566556,11.89,18.65,5.65,30.5,76.31,30.2,6.673
Romania,Central and Eastern Europe,6.589099884,30916.8,0.847961903,67.05085754,0.855814576,-0.17174837,0.929089427,12.34,19.5,5.68,28.3,73.02,35.8,6.563
Serbia,Central and Eastern Europe,6.143599987,19033.96,0.87304765,67.08761597,0.84503603,0.203995332,0.816429853,8.85,14.09,3.93,38.1,71.93,36.2,6.606
Slovakia,Central and Eastern Europe,6.468599796,31364.55,0.952560604,68.83783722,0.75322789,-0.016442599,0.89783591,11.06,17.26,5.3,30.37,76.74,,6.221
Slovenia,Central and Eastern Europe,6.64989996,39667.65,0.950524747,71.05184937,0.913280487,0.014400638,0.771246016,12.11,18.68,5.67,22.28,79.88,24.6,6.792
Armenia,Commonwealth of Independent States,5.341700077,14983.62,0.790231049,67.78897095,0.795605063,-0.155314967,0.705433905,4.67,7.7,2.14,22.79,73.48,29.9,5.494
Georgia,Commonwealth of Independent States,5.109099865,15463.89,0.716171443,64.95006561,0.786470175,-0.254276335,0.648892462,9.47,15.61,4.11,23.38,70.64,35.9,5.4
