Country,Happiness score
Finland,7.736
Denmark,7.521
Iceland,7.515
Sweden,7.345
Netherlands,7.306
Costa Rica,7.274
Norway,7.262
Israel,7.234
Luxembourg,7.122
Mexico,6.979
Australia,6.974
New Zealand,6.952
Switzerland,6.935
Belgium,6.91
Ireland,6.889
Lithuania,6.829
Austria,6.81
Canada,6.803
Slovenia,6.792
Czechia,6.775
United Arab Emirates,6.759
Germany,6.753
United Kingdom,6.728
United States,6.724
Belize,6.711
Poland,6.673
Taiwan Province of China,6.669
Uruguay,6.661
Kosovo,6.659
Kuwait,6.629
Serbia,6.606
Saudi Arabia,6.6
France,6.593
Singapore,6.565
Romania,6.563
Brazil,6.494
El Salvador,6.492
Spain,6.466
Estonia,6.417
Italy,6.415
Panama,6.407
Argentina,6.397
Kazakhstan,6.378
Guatemala,6.362
Chile,6.361
Viet Nam,6.352
Nicaragua,6.33
Malta,6.316
Thailand,6.222
Slovakia,6.221
Latvia,6.207
Oman,6.197
Uzbekistan,6.193
Paraguay,6.172
Japan,6.147
Bosnia and Herzegovina,6.136
Philippines,6.107
Republic of Korea,6.038
Bahrain,6.03
Portugal,6.013
Colombia,6.004
Ecuador,5.965
Honduras,5.964
Malaysia,5.955
Peru,5.947
Russian Federation,5.945
Cyprus,5.942
China,5.921
Hungary,5.915
Trinidad and Tobago,5.905
Montenegro,5.877
Croatia,5.87
Jamaica,5.87
Bolivia,5.868
Kyrgyzstan,5.858
Dominican Republic,5.846
Mongolia,5.833
Mauritius,5.832
Libya,5.82
Republic of Moldova,5.819
Greece,5.776
Venezuela,5.683
Indonesia,5.617
Algeria,5.571
Bulgaria,5.554
North Macedonia,5.503
Armenia,5.494
Hong Kong SAR of China,5.491
Tajikistan,5.411
Albania,5.411
Georgia,5.4
Nepal,5.311
Lao PDR,5.301
Türkiye,5.262
South Africa,5.213
Mozambique,5.19
Gabon,5.12
Côte d’Ivoire,5.102
Iran,5.093
Congo,5.03
Iraq,4.976
Guinea,4.929
Namibia,4.911
Cameroon,4.887
Nigeria,4.885
Azerbaijan,4.875
Senegal,4.856
State of Palestine,4.78
Pakistan,4.768
Niger,4.725
Ukraine,4.68
Morocco,4.622
Tunisia,4.552
Mauritania,4.542
Kenya,4.51
Uganda,4.461
Gambia,4.423
India,4.389
Chad,4.384
Burkina Faso,4.383
Benin,4.357
Somalia,4.347
Mali,4.345
Cambodia,4.341
Ghana,4.34
Myanmar,4.321
Togo,4.315
Jordan,4.31
Liberia,4.277
Madagascar,4.157
Zambia,3.912
Ethiopia,3.898
Sri Lanka,3.891
Bangladesh,3.851
Egypt,3.817
Tanzania,3.8
Eswatini,3.774
Lesotho,3.757
Comoros,3.754
Yemen,3.561
DR Congo,3.469
Botswana,3.438
Zimbabwe,3.396
Malawi,3.26
Lebanon,3.188
Sierra Leone,2.998
Afghanistan,1.364
